French,English
partie,part
histoire,history
chercher,search
police,police
pensais,thought
demande,request
genre,kind
mois,month
frère,brother
car,because
eux,them
ville,city
arrivé,come
pendant,while
revoir,meet again
parle,speak
compris,understood
étaient,were
voici,here is
endroit,place
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
première,first
côté,side
tiens,here
tellement,so much
pardon,sorry
venez,come
devant,in front of
vers,towards
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
parti,left
boulot,job
arrêter,Stop
terre,Earth
compte,account
donne,given
croire,believe
gros,large
filles,girls
